"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Côte d'Ivoire,2588.113,2866.673,2936.16,2830.927,2796.244,2877.177,2959.741,2905.177,3013.802,3098.363,3054.498,3037.267,2981.328,2772.585,2754.116,2884.725,3088.956,3237.857,3348.682,3364.507,3283.203,3274.154,3187.611,3121.503,3162.791,3233.37,3296.024,3357.027,3420.412,3468.373,3488.872,3302.872,3562.747,3833.793,4236.545,4557.772,4628.93,4729.649,5041.159,5327.028,5360.108,5670.756,5989.34,6331.475,6697.595,7088.041
Denmark,11883.101,12916.874,14232.896,15181.921,16399.822,17599.542,18814.65,19296.876,19958.432,20871.974,21947.863,22957.678,23868.342,24348.48,26112.861,27367.361,28485.216,29784.343,30671.406,31918.858,33751.157,34650.402,35236.95,35929.308,37781.731,39769.319,42449.751,43827.287,44218.389,42095.783,43199.113,44482.796,44892.724,46829.474,48039.691,49264.513,52159.798,55220.165,57572.397,59719.02,57781.365,61007.69,63503.915,65808.635,68045.571,70345.197
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3460.268,3324.783,3326.522,3088.958,3027.24,2901.878,2767.241,2704.997,2663.967,2705.571,2709.903,2742.207,2797.36,2860.017,2936.399,3037.022,3190.57,3346.926,3511.781,3497.811,3584.951,3819.785,3865.855,3967.32,4103.688,4329.998,4392.278,4519.789,4880.779,5194.958,5073.555,5397.507,5691.253,6002.949,6308.176,6631.843
Dominica,no data,2045.923,2270.168,2428.116,2630.774,2762.482,3028.322,3310.87,3708.896,3860.835,4237.604,4455.942,4649.628,4862.3,4967.4,5224.799,5485.212,5701.263,5982.52,6089.932,6371.192,6506.294,6426.815,6966.997,7378.048,7663.205,8268.796,9036.828,9875.588,9841.45,10030.19,10224.054,9977.097,10261.366,11036.561,11211.811,12029.567,11500.723,11839.592,13061.508,12082.617,12753.274,13398.578,14054.936,14574.773,15082.923
Dominican Republic,2431.95,2713.834,2863.702,3041.459,3115.731,3071.463,3165.847,3486.59,3601.491,3822.753,3676.419,3770.921,4212.435,4545.987,4682.125,4968.224,5275.758,5751.934,6109.017,6466.996,6819.313,7043.653,7377.481,7313.685,7605.714,8476.29,9425.414,10280.116,10693.392,10760.273,11670.976,12157.893,12207.744,12818.364,13859.072,15186.042,16625.846,17301.383,18774.82,19897.824,18782.718,19767.069,20910.029,22138.639,23447.419,24861.728
Ecuador,3246.899,3589.671,3750.745,3685.457,3872.983,4062.827,4164.305,3912.954,4362.034,4436.403,4631.359,4919.065,5097.81,5209.583,5435.338,5567.629,5669.708,5922.618,6092.77,5802.444,5908.759,6141.974,6356.346,6537.802,7140.546,7656.826,8092.429,8342.249,8883.963,8840.18,9089.631,9842.963,10280.264,11106.117,11657.901,11014.886,11009.159,11623.715,11881.732,11928.959,10617.162,11210.718,11395.967,11638.42,11933.747,12272.923
Egypt,2185.506,2377.322,2636.326,2903.525,3161.812,3405.549,3547.531,3709.111,3913.085,4097.689,4311.928,4459.121,4481.642,4576.197,4774.488,4978.222,5208.195,5490.223,5853.914,6170.418,6502.52,6742.356,6929.255,7133.37,7482.131,7900.572,8516.061,9186.528,9821.882,10130.29,10529.378,10694.412,11620.118,11726.031,11350.945,11957.706,11616.339,11158.252,11797.896,12390.919,12718.987,13057.757,13635.921,14288.867,14988.243,15769.554
El Salvador,2139.346,2182.935,2154.739,2260.036,2358.298,2428.476,2457.017,2550.169,2652.39,2739.564,2928.52,3031.327,3272.592,3497.201,3691.357,3900.444,3961.175,4115.054,4233.891,4352.477,4466.944,4574.605,4692.628,4828.572,4978.052,5247.405,5615.689,5848.436,6063.24,5956.999,6127.283,6465.809,6541.216,6877.154,7233.191,7597.685,8038.622,8454.05,8822.32,9146.575,8401.06,8889.518,9290.852,9675.834,10061.148,10436.304
Equatorial Guinea,350.916,384.105,387.338,390.586,380.225,417.192,396.739,409.192,421.734,420.536,434.022,429.258,565.302,618.228,712.53,888.002,1330.209,3228.293,3916.284,4823.43,9968.489,15653.531,18260.638,20424.008,26208.359,27988.458,29357.247,33197.76,38072.68,37138.056,32707.142,34023.849,37302.871,34530.773,33482.867,23902.973,20353.105,22449.899,20893.709,19290.912,17782.451,17985.258,16910.048,16480.492,16043.513,15546.393
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,751.001,875.195,1091.1,1147.114,1279.48,1405.005,1441.522,1444.767,1263.511,1355.198,1357.428,1283.824,1279.009,1301.597,1286.577,1304.669,1048.45,1163.459,1284.173,1625.492,1669.213,1506.534,1991.679,1589.081,1700.785,1537.449,1758.922,1835.607,1824.294,1941.475,2015.831,2094.422,2178.339,2266.874
